UM,Cauce,CodigoCauce,EfC,Superficie,LongitudRed,Revestida,SinRevestir,RevestPorc,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Roberto Guevara,2365,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Las Porteñas,2366,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Torres,2367,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Labanca,2368,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Espejo,2369,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Tissera,2370,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Molas,2371,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Puebla,2372,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Martinez,2373,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Furlotti,2374,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Istharri,2375,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Surraco,2376,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Giagnoni,2377,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Santos Lugares,2378,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Renna,2379,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Tagua,2380,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Giacomelli,2381,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Silva,2382,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Sosa,2383,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Ochoa,2384,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Figueroa,2385,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Ariza,2386,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Tomba,2387,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Casar,2388,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Guerrero,2389,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Nuevo Retamo Hijuela Villegas,2390,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
CRUZ BODEGA,RAMA CRUZ BODEGA,2130,82.96,1058.13,36139.51,1668.11,34471.40,0.046,,,
Canal Mz.Independencia,Rama Cruz Bodega Hijuela Lucero,2132,82.96,1058.13,36139.51,1668.11,34471.40,0.046,,,
Canal Mz.Independencia,Rama Cruz Bodega Hijuela Zapata,2133,82.96,1058.13,36139.51,1668.11,34471.40,0.046,,,
Canal Mz.Independencia,Rama Cruz Bodega Ramo Ampuero,2134,82.96,1058.13,36139.51,1668.11,34471.40,0.046,,,
Canal Mz.Independencia,Rama Cruz Bodega Ramo Capilla,2135,82.96,1058.13,36139.51,1668.11,34471.40,0.046,,,
Canal Mz.Independencia,Rama Cruz Bodega Hijuela Ortiz,2136,82.96,1058.13,36139.51,1668.11,34471.40,0.046,,,
GODOY,RAMA GODOY,2137,81.67,1322.59,42065.77,2305.25,39760.52,0.055,,,
Canal Mz.Independencia,Rama Godoy Hijuela Palmira,2138,81.67,1322.59,42065.77,2305.25,39760.52,0.055,,,
Canal Mz.Independencia,Rama Godoy Hijuela Lavoisier,2139,81.67,1322.59,42065.77,2305.25,39760.52,0.055,,,
HENRIQUEZ,RAMA HENRIQUEZ,2130,84.42,490.08,21824.41,1296.24,20528.17,0.059,,,
LA DORMIDA,,,77.74,4631.64,95782.58,15590.05,80192.53,0.163,,,
MONTECASEROS,RAMA MONTECASEROS,2194,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 1ª Morón,2195,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 1ª Morón Ramo Gellón,2196,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 2ª Espino,2197,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 2ª Espino Ramo Desarenador,2198,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 2ª Espino Ramo Belleville,2199,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 2ª Espino TOMA EXCLUSIVA,2200,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Ramo Zanotelli,2201,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 2ª Espino Ramo Nuñez y Torres,2202,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 2ª Espino Ramo Bustos,2203,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 2ª Espino Ramo Pol,2204,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros TOMA EXCLUSIVA,2609,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador ,2205,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Ferrier,2206,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Pouget,2207,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Guevara,2208,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Oratorio,2209,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Becerra,2210,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Soto,2211,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Barraza,2212,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 3ª Salvador Ramo Salinas,2213,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy,2214,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Nº4,2215,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Nº10,2216,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Sauce,2217,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Sáez Nº8,2218,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Guardia,2219,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Nº7,2220,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Villalobos,2221,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 4ª Chivilcoy Ramo Nº12,2222,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 5ª Pescara,2223,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 5ª Morón,2224,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 6ª Anzorena,2225,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 6ª Anzorena Ramo Dávila,2226,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 6ª Anzorena Ramo Calderón,2227,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 6ª Anzorena Ramo Lavalle,2228,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 6ª Anzorena Ramo Sauce,2620,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela Reynoso,2230,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela Reynoso Ramo Hernández,2231,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela Reynoso Ramo Miranda,2232,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela Reynoso Ramo Vélez,2233,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama montecaseros Hijuela 7ª Zapata,2234,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
Canal Mz.San Martín,Rama Montecaseros Hijuela 7ª Zapata Ramo Lucero,2235,86.97,8711.82,279663.76,12784.78,266878.98,0.046,,,
